n:71 mse_avg:2901.85 mse_y:4003.80 mse_u:1338.74 mse_v:57.17 psnr_avg:13.50 psnr_y:12.11 psnr_u:16.86 psnr_v:30.56 
n:72 mse_avg:2893.03 mse_y:3992.37 mse_u:1332.10 mse_v:56.58 psnr_avg:13.52 psnr_y:12.12 psnr_u:16.89 psnr_v:30.60 
n:73 mse_avg:2909.47 mse_y:4015.39 mse_u:1338.21 mse_v:57.08 psnr_avg:13.49 psnr_y:12.09 psnr_u:16.87 psnr_v:30.57 
n:74 mse_avg:2899.95 mse_y:4001.62 mse_u:1336.10 mse_v:57.13 psnr_avg:13.51 psnr_y:12.11 psnr_u:16.87 psnr_v:30.56 
n:75 mse_avg:2891.93 mse_y:3991.08 mse_u:1330.53 mse_v:56.76 psnr_avg:13.52 psnr_y:12.12 psnr_u:16.89 psnr_v:30.59 
n:76 mse_avg:2907.13 mse_y:4011.47 mse_u:1339.53 mse_v:57.40 psnr_avg:13.50 psnr_y:12.10 psnr_u:16.86 psnr_v:30.54 
n:77 mse_avg:2890.20 mse_y:3988.90 mse_u:1328.96 mse_v:56.61 psnr_avg:13.52 psnr_y:12.12 psnr_u:16.90 psnr_v:30.60 
n:78 mse_avg:2897.78 mse_y:3998.88 mse_u:1333.94 mse_v:57.22 psnr_avg:13.51 psnr_y:12.11 psnr_u:16.88 psnr_v:30.56 
n:79 mse_avg:2904.71 mse_y:4008.55 mse_u:1336.75 mse_v:57.32 psnr_avg:13.50 psnr_y:12.10 psnr_u:16.87 psnr_v:30.55 
n:80 mse_avg:2888.07 mse_y:3986.81 mse_u:1324.66 mse_v:56.56 psnr_avg:13.52 psnr_y:12.12 psnr_u:16.91 psnr_v:30.61 
n:81 mse_avg:2894.78 mse_y:3995.54 mse_u:1329.52 mse_v:56.98 psnr_avg:13.51 psnr_y:12.12 psnr_u:16.89 psnr_v:30.57 
n:82 mse_avg:2890.47 mse_y:3989.89 mse_u:1326.44 mse_v:56.81 psnr_avg:13.52 psnr_y:12.12 psnr_u:16.90 psnr_v:30.59 
n:83 mse_avg:2902.72 mse_y:4006.39 mse_u:1333.28 mse_v:57.46 psnr_avg:13.50 psnr_y:12.10 psnr_u:16.88 psnr_v:30.54 
n:84 mse_avg:2896.42 mse_y:3998.12 mse_u:1328.70 mse_v:57.34 psnr_avg:13.51 psnr_y:12.11 psnr_u:16.90 psnr_v:30.55 
n:85 mse_avg:2890.67 mse_y:3990.79 mse_u:1324.03 mse_v:56.82 psnr_avg:13.52 psnr_y:12.12 psnr_u:16.91 psnr_v:30.59 
n:86 mse_avg:2906.52 mse_y:4011.84 mse_u:1334.10 mse_v:57.66 psnr_avg:13.50 psnr_y:12.10 psnr_u:16.88 psnr_v:30.52 
n:87 mse_avg:2889.17 mse_y:3988.70 mse_u:1323.20 mse_v:57.00 psnr_avg:13.52 psnr_y:12.12 psnr_u:16.91 psnr_v:30.57 
n:88 mse_avg:2896.72 mse_y:3998.75 mse_u:1327.90 mse_v:57.40 psnr_avg:13.51 psnr_y:12.11 psnr_u:16.90 psnr_v:30.54 
n:89 mse_avg:2908.60 mse_y:4015.01 mse_u:1333.76 mse_v:57.82 psnr_avg:13.49 psnr_y:12.09 psnr_u:16.88 psnr_v:30.51 
n:90 mse_avg:2886.15 mse_y:3985.15 mse_u:1319.15 mse_v:57.15 psnr_avg:13.53 psnr_y:12.13 psnr_u:16.93 psnr_v:30.56 
n:91 mse_avg:2896.45 mse_y:3998.81 mse_u:1325.80 mse_v:57.68 psnr_avg:13.51 psnr_y:12.11 psnr_u:16.91 psnr_v:30.52 
n:92 mse_avg:2895.90 mse_y:3998.19 mse_u:1325.08 mse_v:57.54 psnr_avg:13.51 psnr_y:12.11 psnr_u:16.91 psnr_v:30.53 
n:93 mse_avg:2909.68 mse_y:4017.70 mse_u:1329.44 mse_v:57.85 psnr_avg:13.49 psnr_y:12.09 psnr_u:16.89 psnr_v:30.51 
n:94 mse_avg:2900.48 mse_y:4004.56 mse_u:1326.92 mse_v:57.71 psnr_avg:13.51 psnr_y:12.11 psnr_u:16.90 psnr_v:30.52 
n:95 mse_avg:2892.52 mse_y:3994.01 mse_u:1321.79 mse_v:57.31 psnr_avg:13.52 psnr_y:12.12 psnr_u:16.92 psnr_v:30.55 
n:96 mse_avg:2906.33 mse_y:4013.07 mse_u:1328.13 mse_v:57.57 psnr_avg:13.50 psnr_y:12.10 psnr_u:16.90 psnr_v:30.53 
n:97 mse_avg:2888.35 mse_y:3989.08 mse_u:1316.97 mse_v:56.80 psnr_avg:13.52 psnr_y:12.12 psnr_u:16.94 psnr_v:30.59 
n:98 mse_avg:2899.12 mse_y:4002.86 mse_u:1325.61 mse_v:57.68 psnr_avg:13.51 psnr_y:12.11 psnr_u:16.91 psnr_v:30.52 
n:99 mse_avg:2905.23 mse_y:4011.76 mse_u:1326.52 mse_v:57.83 psnr_avg:13.50 psnr_y:12.10 psnr_u:16.90 psnr_v:30.51 
n:100 mse_avg:2887.88 mse_y:3988.43 mse_u:1316.46 mse_v:57.13 psnr_avg:13.53 psnr_y:12.12 psnr_u:16.94 psnr_v:30.56 
n:101 mse_avg:2895.63 mse_y:3998.55 mse_u:1322.04 mse_v:57.50 psnr_avg:13.51 psnr_y:12.11 psnr_u:16.92 psnr_v:30.53 
n:102 mse_avg:2887.04 mse_y:3986.74 mse_u:1317.99 mse_v:57.27 psnr_avg:13.53 psnr_y:12.12 psnr_u:16.93 psnr_v:30.55 
n:103 mse_avg:2902.47 mse_y:4007.40 mse_u:1327.06 mse_v:58.17 psnr_avg:13.50 psnr_y:12.10 psnr_u:16.90 psnr_v:30.48 
n:104 mse_avg:2893.68 mse_y:3995.52 mse_u:1322.11 mse_v:57.88 psnr_avg:13.52 psnr_y:12.12 psnr_u:16.92 psnr_v:30.51 
n:105 mse_avg:2888.97 mse_y:3989.77 mse_u:1317.46 mse_v:57.30 psnr_avg:13.52 psnr_y:12.12 psnr_u:16.93 psnr_v:30.55 
n:106 mse_avg:2902.99 mse_y:4008.34 mse_u:1326.32 mse_v:58.25 psnr_avg:13.50 psnr_y:12.10 psnr_u:16.90 psnr_v:30.48 
n:107 mse_avg:2884.76 mse_y:3984.14 mse_u:1314.60 mse_v:57.40 psnr_avg:13.53 psnr_y:12.13 psnr_u:16.94 psnr_v:30.54 
n:108 mse_avg:2895.40 mse_y:3998.44 mse_u:1320.89 mse_v:57.78 psnr_avg:13.51 psnr_y:12.11 psnr_u:16.92 psnr_v:30.51 
n:109 mse_avg:2906.98 mse_y:4014.34 mse_u:1326.54 mse_v:57.97 psnr_avg:13.50 psnr_y:12.09 psnr_u:16.90 psnr_v:30.50 
n:110 mse_avg:2895.81 mse_y:4001.26 mse_u:1312.63 mse_v:57.20 psnr_avg:13.51 psnr_y:12.11 psnr_u:16.95 psnr_v:30.56 
n:111 mse_avg:2911.92 mse_y:4024.40 mse_u:1316.33 mse_v:57.55 psnr_avg:13.49 psnr_y:12.08 psnr_u:16.94 psnr_v:30.53 
n:112 mse_avg:2922.73 mse_y:4042.67 mse_u:1308.36 mse_v:57.32 psnr_avg:13.47 psnr_y:12.06 psnr_u:16.96 psnr_v:30.55 
n:113 mse_avg:2943.05 mse_y:4071.77 mse_u:1313.30 mse_v:57.91 psnr_avg:13.44 psnr_y:12.03 psnr_u:16.95 psnr_v:30.50 
n:114 mse_avg:2948.35 mse_y:4083.24 mse_u:1299.52 mse_v:57.63 psnr_avg:13.44 psnr_y:12.02 psnr_u:16.99 psnr_v:30.52 
n:115 mse_avg:2947.84 mse_y:4083.99 mse_u:1293.72 mse_v:57.36 psnr_avg:13.44 psnr_y:12.02 psnr_u:17.01 psnr_v:30.55 
n:116 mse_avg:2960.51 mse_y:4102.00 mse_u:1297.42 mse_v:57.62 psnr_avg:13.42 psnr_y:12.00 psnr_u:17.00 psnr_v:30.53 
n:117 mse_avg:2945.77 mse_y:4083.24 mse_u:1284.60 mse_v:57.05 psnr_avg:13.44 psnr_y:12.02 psnr_u:17.04 psnr_v:30.57 
n:118 mse_avg:2956.18 mse_y:4097.52 mse_u:1289.24 mse_v:57.73 psnr_avg:13.42 psnr_y:12.01 psnr_u:17.03 psnr_v:30.52 
n:119 mse_avg:2962.33 mse_y:4106.31 mse_u:1291.00 mse_v:57.75 psnr_avg:13.41 psnr_y:12.00 psnr_u:17.02 psnr_v:30.52 
n:120 mse_avg:2945.20 mse_y:4083.22 mse_u:1281.41 mse_v:56.90 psnr_avg:13.44 psnr_y:12.02 psnr_u:17.05 psnr_v:30.58 
n:121 mse_avg:2952.10 mse_y:4092.36 mse_u:1285.72 mse_v:57.47 psnr_avg:13.43 psnr_y:12.01 psnr_u:17.04 psnr_v:30.54 
n:122 mse_avg:2941.68 mse_y:4079.57 mse_u:1274.97 mse_v:56.80 psnr_avg:13.44 psnr_y:12.02 psnr_u:17.08 psnr_v:30.59 
n:123 mse_avg:2957.34 mse_y:4100.82 mse_u:1283.27 mse_v:57.51 psnr_avg:13.42 psnr_y:12.00 psnr_u:17.05 psnr_v:30.53 
n:124 mse_avg:2946.74 mse_y:4085.95 mse_u:1279.24 mse_v:57.42 psnr_avg:13.44 psnr_y:12.02 psnr_u:17.06 psnr_v:30.54 
n:125 mse_avg:2402.84 mse_y:3171.44 mse_u:1674.58 mse_v:56.69 psnr_avg:14.32 psnr_y:13.12 psnr_u:15.89 psnr_v:30.60 
n:126 mse_avg:2413.36 mse_y:3184.53 mse_u:1685.74 mse_v:56.28 psnr_avg:14.30 psnr_y:13.10 psnr_u:15.86 psnr_v:30.63 
n:127 mse_avg:2401.35 mse_y:3169.21 mse_u:1675.07 mse_v:56.18 psnr_avg:14.33 psnr_y:13.12 psnr_u:15.89 psnr_v:30.64 
n:128 mse_avg:2406.67 mse_y:3175.99 mse_u:1679.55 mse_v:56.51 psnr_avg:14.32 psnr_y:13.11 psnr_u:15.88 psnr_v:30.61 
n:129 mse_avg:2412.95 mse_y:3184.05 mse_u:1685.00 mse_v:56.52 psnr_avg:14.31 psnr_y:13.10 psnr_u:15.86 psnr_v:30.61 
n:130 mse_avg:2401.63 mse_y:3169.08 mse_u:1677.17 mse_v:56.28 psnr_avg:14.33 psnr_y:13.12 psnr_u:15.89 psnr_v:30.63 
n:131 mse_avg:2404.99 mse_y:3171.54 mse_u:1687.79 mse_v:55.98 psnr_avg:14.32 psnr_y:13.12 psnr_u:15.86 psnr_v:30.65 
n:132 mse_avg:2399.66 mse_y:3165.22 mse_u:1681.14 mse_v:55.92 psnr_avg:14.33 psnr_y:13.13 psnr_u:15.87 psnr_v:30.66 
n:133 mse_avg:2409.06 mse_y:3177.80 mse_u:1687.17 mse_v:55.98 psnr_avg:14.31 psnr_y:13.11 psnr_u:15.86 psnr_v:30.65 
n:134 mse_avg:2400.89 mse_y:3165.43 mse_u:1687.63 mse_v:56.03 psnr_avg:14.33 psnr_y:13.13 psnr_u:15.86 psnr_v:30.65 
n:135 mse_avg:2397.76 mse_y:3161.73 mse_u:1683.73 mse_v:55.93 psnr_avg:14.33 psnr_y:13.13 psnr_u:15.87 psnr_v:30.65 
n:136 mse_avg:2406.91 mse_y:3174.29 mse_u:1688.45 mse_v:55.82 psnr_avg:14.32 psnr_y:13.11 psnr_u:15.86 psnr_v:30.66 
n:137 mse_avg:2392.08 mse_y:3155.37 mse_u:1674.82 mse_v:56.15 psnr_avg:14.34 psnr_y:13.14 psnr_u:15.89 psnr_v:30.64 
n:138 mse_avg:2394.18 mse_y:3156.99 mse_u:1681.14 mse_v:55.96 psnr_avg:14.34 psnr_y:13.14 psnr_u:15.87 psnr_v:30.65 
n:139 mse_avg:2411.90 mse_y:3180.74 mse_u:1693.34 mse_v:55.10 psnr_avg:14.31 psnr_y:13.11 psnr_u:15.84 psnr_v:30.72 
n:140 mse_avg:2395.11 mse_y:3159.46 mse_u:1676.96 mse_v:55.83 psnr_avg:14.34 psnr_y:13.13 psnr_u:15.89 psnr_v:30.66 
n:141 mse_avg:2403.00 mse_y:3169.96 mse_u:1682.64 mse_v:55.53 psnr_avg:14.32 psnr_y:13.12 psnr_u:15.87 psnr_v:30.69 
n:142 mse_avg:2398.65 mse_y:3163.67 mse_u:1682.30 mse_v:54.92 psnr_avg:14.33 psnr_y:13.13 psnr_u:15.87 psnr_v:30.73 
n:143 mse_avg:2409.92 mse_y:3178.43 mse_u:1691.14 mse_v:54.69 psnr_avg:14.31 psnr_y:13.11 psnr_u:15.85 psnr_v:30.75 
n:144 mse_avg:2397.57 mse_y:3161.88 mse_u:1682.80 mse_v:55.09 psnr_avg:14.33 psnr_y:13.13 psnr_u:15.87 psnr_v:30.72 
n:145 mse_avg:2391.39 mse_y:3154.89 mse_u:1673.62 mse_v:55.17 psnr_avg:14.34 psnr_y:13.14 psnr_u:15.89 psnr_v:30.71 
n:146 mse_avg:2403.61 mse_y:3169.48 mse_u:1689.06 mse_v:54.66 psnr_avg:14.32 psnr_y:13.12 psnr_u:15.85 psnr_v:30.75 
n:147 mse_avg:2384.09 mse_y:3144.15 mse_u:1672.72 mse_v:55.25 psnr_avg:14.36 psnr_y:13.16 psnr_u:15.90 psnr_v:30.71 
n:148 mse_avg:2389.85 mse_y:3151.06 mse_u:1679.87 mse_v:54.98 psnr_avg:14.35 psnr_y:13.15 psnr_u:15.88 psnr_v:30.73 
n:149 mse_avg:2396.08 mse_y:3159.57 mse_u:1683.24 mse_v:54.99 psnr_avg:14.34 psnr_y:13.13 psnr_u:15.87 psnr_v:30.73 
n:150 mse_avg:2384.31 mse_y:3143.96 mse_u:1675.32 mse_v:54.74 psnr_avg:14.36 psnr_y:13.16 psnr_u:15.89 psnr_v:30.75 
n:151 mse_avg:2391.53 mse_y:3152.78 mse_u:1683.60 mse_v:54.50 psnr_avg:14.34 psnr_y:13.14 psnr_u:15.87 psnr_v:30.77 
